datetime,sessionTime,RRi
250707145726.699,0.700,913.086
250707145727.691,1.700,945.313
250707145728.682,2.680,886.719
250707145729.715,3.720,907.227
250707145730.660,4.660,928.711
250707145730.660,4.660,889.648
250707145731.697,5.700,898.438
250707145732.687,6.700,914.063
250707145733.677,7.680,893.555
250707145734.666,8.680,853.516
250707145735.746,9.760,882.813
250707145736.734,10.740,912.109
250707145737.679,11.680,897.461
250707145738.669,12.680,880.859
250707145738.669,12.680,906.250
250707145739.659,13.660,922.852
250707145740.696,14.700,882.813
250707145741.685,15.700,908.203
250707145742.677,16.680,909.180
250707145743.666,17.680,880.859
250707145744.701,18.700,843.750
250707145745.690,19.700,871.094
250707145746.681,20.680,901.367
250707145746.681,20.680,875.977
250707145747.671,21.680,880.859
250707145748.661,22.660,889.648
250707145749.695,23.700,835.938
250707145750.686,24.700,811.523
250707145751.674,25.680,824.219
250707145751.675,25.680,833.008
250707145752.665,26.680,813.477
250707145753.701,27.700,832.031
250707145754.691,28.700,857.422
250707145755.680,29.680,846.680
250707145756.669,30.680,864.258
250707145757.706,31.720,897.461
250707145758.695,32.700,898.438
250707145758.695,32.700,865.234
250707145759.688,33.700,866.211
250707145800.674,34.680,868.164
250707145801.664,35.680,849.609
250707145804.630,36.220,851.563
250707145804.630,36.220,881.836
250707145804.680,36.260,860.352
250707145804.680,36.260,849.609
250707145805.669,37.260,876.953
250707145806.662,38.260,866.211
250707145807.698,39.280,833.984
250707145808.684,40.280,836.914
250707145808.684,40.280,833.984
250707145809.722,41.320,798.828
250707145812.456,41.380,823.242
250707145812.457,41.380,853.516
250707145812.734,41.660,822.266
250707145813.681,42.620,808.594
250707145813.681,42.620,804.688
250707145814.670,43.600,788.086
250707145815.660,44.600,826.172
