datetime,sessionTime,HR
250708201055.473,0.700,68
250708201056.475,1.700,68
250708201057.477,2.700,69
250708201058.479,3.700,69
250708201059.480,4.700,69
250708201100.484,5.700,70
250708201101.484,6.720,70
250708201102.487,7.720,70
250708201103.488,8.720,70
250708201104.488,9.720,71
250708201105.490,10.720,71
250708201106.492,11.720,71
250708201107.494,12.720,70
250708201108.497,13.720,69
250708201109.499,14.720,68
250708201110.498,15.720,68
250708201111.500,16.720,67
250708201112.502,17.720,66
250708201113.506,18.740,65
250708201114.506,19.740,66
250708201115.510,20.740,66
250708201116.512,21.740,66
250708201117.512,22.740,66
250708201118.522,23.740,65
250708201119.525,24.760,64
250708201120.529,25.760,63
250708201121.532,26.760,64
250708201122.536,27.760,64
250708201123.540,28.760,63
250708201124.543,29.760,64
250708201125.545,30.780,64
250708201126.548,31.780,63
250708201127.548,32.780,63
250708201128.550,33.780,62
250708201129.551,34.780,63
250708201130.554,35.780,63
250708201131.557,36.780,63
250708201132.557,37.780,63
250708201133.581,38.800,64
250708201134.584,39.820,65
250708201135.586,40.820,64
250708201136.589,41.820,65
250708201137.591,42.820,65
250708201138.595,43.820,65
250708201139.595,44.820,66
250708201140.596,45.820,67
250708201141.600,46.820,67
250708201142.600,47.820,67
250708201143.601,48.820,66
250708201144.600,49.820,66
250708201145.602,50.820,66
250708201146.605,51.840,65
250708201147.608,52.840,66
250708201148.630,53.860,66
250708201149.632,54.860,65
250708201150.634,55.860,63
250708201151.635,56.860,63
250708201152.635,57.860,64
250708201153.635,58.860,64
250708201154.637,59.860,64
250708201155.640,60.860,65
250708201156.643,61.860,65
250708201157.644,62.880,64
